theater_name,movie_title,zipcode,theater_location,show_url,show_timing,movie_date,auditorium_no,reserved_seating,no_of_seat,ticket_price,movie_duration,no_of_seat,total,reserved,checkered,available
Reading Cinemas Manville with Titan Luxe,The Broken Hearts Gallery,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953841&tid=AANJG&sdate=2020-09-14+14:10&mid=223123&from=mov_det_showtimes,2:10p,"Monday, Sep 14 at 2:10 PM",Screen 8,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 1 Hr 48 Min","1
Adult tickets",51,0,0,51
Reading Cinemas Manville with Titan Luxe,The Broken Hearts Gallery,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953906&tid=AANJG&sdate=2020-09-14+15:10&mid=223123&from=mov_det_showtimes,3:10p,"Monday, Sep 14 at 3:10 PM",Screen 12,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 1 Hr 48 Min","1
Adult tickets",48,0,0,48
Reading Cinemas Manville with Titan Luxe,The Broken Hearts Gallery,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953862&tid=AANJG&sdate=2020-09-14+16:30&mid=223123&from=mov_det_showtimes,4:30p,"Monday, Sep 14 at 4:30 PM",Screen 10,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 1 Hr 48 Min","1
Adult tickets",82,0,0,82
Reading Cinemas Manville with Titan Luxe,The Broken Hearts Gallery,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953907&tid=AANJG&sdate=2020-09-14+18:20&mid=223123&from=mov_det_showtimes,6:20p,"Monday, Sep 14 at 6:20 PM",Screen 12,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 1 Hr 48 Min","1
Adult tickets",48,0,0,48
Reading Cinemas Manville with Titan Luxe,The Broken Hearts Gallery,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953866&tid=AANJG&sdate=2020-09-14+19:30&mid=223123&from=mov_det_showtimes,7:30p,"Monday, Sep 14 at 7:30 PM",Screen 10,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 1 Hr 48 Min","1
Adult tickets",82,0,0,82
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953808&tid=AANJG&sdate=2020-09-14+14:00&mid=219762&from=mov_det_showtimes,2:00p,"Monday, Sep 14 at 2:00 PM",Screen 6,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 2 Hr 30 Min","1
Adult tickets",75,2,4,69
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953720&tid=AANJG&sdate=2020-09-14+14:30&mid=219762&from=mov_det_showtimes,2:30p,"Monday, Sep 14 at 2:30 PM",Screen 1,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 2 Hr 30 Min","1
Adult tickets",76,0,0,76
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953792&tid=AANJG&sdate=2020-09-14+15:00&mid=219762&from=mov_det_showtimes,3:00p,"Monday, Sep 14 at 3:00 PM",Screen 5,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 2 Hr 30 Min","1
Adult tickets",114,0,1,113
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953737&tid=AANJG&sdate=2020-09-14+16:00&mid=219762&from=mov_det_showtimes,4:00p,"Monday, Sep 14 at 4:00 PM",Screen 2,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 2 Hr 30 Min","1
Adult tickets",115,0,0,115
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953790&tid=AANJG&sdate=2020-09-14+16:40&mid=219762&from=mov_det_showtimes,4:40p,"Monday, Sep 14 at 4:40 PM",Screen 4,Reserved seating,"1
Adult tickets",$12.00,"PG-13, 2 Hr 30 Min","1
Adult tickets",212,0,0,212
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953809&tid=AANJG&sdate=2020-09-14+17:40&mid=219762&from=mov_det_showtimes,5:40p,"Monday, Sep 14 at 5:40 PM",Screen 6,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 2 Hr 30 Min","1
Adult tickets",75,0,0,75
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953724&tid=AANJG&sdate=2020-09-14+18:10&mid=219762&from=mov_det_showtimes,6:10p,"Monday, Sep 14 at 6:10 PM",Screen 1,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 2 Hr 30 Min","1
Adult tickets",76,0,0,76
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953796&tid=AANJG&sdate=2020-09-14+18:40&mid=219762&from=mov_det_showtimes,6:40p,"Monday, Sep 14 at 6:40 PM",Screen 5,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 2 Hr 30 Min","1
Adult tickets",114,0,1,113
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953741&tid=AANJG&sdate=2020-09-14+19:40&mid=219762&from=mov_det_showtimes,7:40p,"Monday, Sep 14 at 7:40 PM",Screen 2,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 2 Hr 30 Min","1
Adult tickets",115,1,4,110
Reading Cinemas Manville with Titan Luxe,Tenet,08835,"180 N Main Street
Manville, NJ 08835",https://tickets.fandango.com/Transaction/Ticketing/ticketboxoffice.aspx?row_count=318953791&tid=AANJG&sdate=2020-09-14+20:20&mid=219762&from=mov_det_showtimes,8:20p,"Monday, Sep 14 at 8:20 PM",Screen 4,Reserved seating,"1
Adult tickets",$15.50,"PG-13, 2 Hr 30 Min","1
Adult tickets",212,0,0,212
